Date,Instrument,EBIT,Interest Expense,Interest Coverage,Ticker
2022-01-01,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-02,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-03,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-04,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-05,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-06,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-07,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-08,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-09,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-10,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-11,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-12,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-13,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-14,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-15,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-16,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-17,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-18,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-19,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-20,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-21,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-22,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-23,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-24,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-25,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-26,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-27,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-28,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-29,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-30,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-01-31,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-01,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-02,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-03,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-04,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-05,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-06,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-07,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-08,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-09,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-10,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-11,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-12,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-13,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-14,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-15,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-16,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-17,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-18,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-19,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-20,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-21,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-22,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-23,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-24,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-25,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-26,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-27,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-02-28,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-01,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-02,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-03,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-04,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-05,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-06,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-07,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-08,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-09,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-10,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-11,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-12,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-13,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-14,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-15,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-16,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-17,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-18,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-19,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-20,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-21,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-22,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-23,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-24,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-25,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-26,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-27,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-28,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-29,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-30,,14288000000.0,831000000.0,17.193742478941036,NESN.S
2022-03-31,NESN.S,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-01,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-02,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-03,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-04,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-05,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-06,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-07,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-08,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-09,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-10,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-11,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-12,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-13,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-14,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-15,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-16,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-17,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-18,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-19,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-20,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-21,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-22,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-23,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-24,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-25,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-26,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-27,,15030000000.0,815000000.0,18.441717791411044,NESN.S
2022-04-28,,15030000000.0,815000000.0,18.441717791411044,NESN.S
