Subfolder Name,Rough Matched Supersector,Rough Matched Company Name (Full)
prosus_nv_PRX_NL0013654783,,
wallenstam_b_WALLB_SE0017780133,,
moet_hennessy_louis_vuitton_MC_FR0000121014,Personal & Household Goods,LVMH MOET HENNESSY
klepierre_LI_FR0000121964,Real Estate,KLEPIERRE
coca_cola_hbc_CCH_CH0198251305,Food & Beverage,COCA-COLA HBC
beijer_ref_ab_BEIJ B_SE0015949748,,
paddy_power_betfair_FLTR_IE00BWT6H894,Travel & Leisure,PADDY POWER BETFAIR
swisscom_SCMN_CH0008742519,Telecommunications,SWISSCOM
rockwool_b_ROCK B_DK0010219153,,
fortum_FORTUM_FI0009007132,Utilities,FORTUM
dksh_DKSH_CH0126673539,Industrial Goods & Services,DKSH HOLDING
sandvik_SAND_SE0000667891,Industrial Goods & Services,SANDVIK
tele2_TEL2 B_SE0005190238,Telecommunications,TELE2 B
aker_bp_AKRBP_NO0010345853,,
straumann_STMN_CH1175448666,Industrial Goods & Services,MAN
teleperformance_TEP_FR0000051807,Industrial Goods & Services,TELEPERFORMANCE
dsv_DSV_DK0060079531,Industrial Goods & Services,DSV B
unilever_ULVR_GB00B10RZP78,Personal & Household Goods,UNILEVER NV
terna_rete_elettrica_nazionale_TRN_IT0003242622,Health Care,ESSILOR INTERNATIONAL
asr_nederland_nv_ASRNL_NL0011872643,,
asm_ASM_NL0000334118,Technology,ASML HLDG
wise_plc_WISE_GB00BL9YR756,,
gtt_GTT_FR0011726835,,
land_securities_LAND_GB00BYW0PQ60,Real Estate,LAND SECURITIES
future_plc_FUTR_GB00BYZN9041,,
nexans_NEX_FR0000044448,,
victrex_VCT_GB0009292243,Chemicals,VICTREX
aena_AENA_ES0105046009,Industrial Goods & Services,AENA
cofinimmo_COFB_BE0003593044,Real Estate,COFINIMMO
geberit_GEBN_CH0030170408,Construction & Materials,GEBERIT
norsk_hydro_NHY_NO0005052605,Basic Resources,NORSK HYDRO
diageo_DGE_GB0002374006,Food & Beverage,DIAGEO
anheuser_busch_ABI_BE0974293251,Food & Beverage,ANHEUSER-BUSCH INBEV
novartis_NOVN_CH0012005267,Health Care,NOVARTIS
watches_of_switzerland_group_plc_WOSG_GB00BJDQQ870,,
bayer_BAYN_DE000BAY0017,Chemicals,BAYER
lonza_group_LONN_CH0013841017,Health Care,LONZA
vonovia_VNA_DE000A1ML7J1,Real Estate,Vonovia SE
sartorius_SRT3_DE0007165631,,
ambu_a_sb_AMBU B_DK0060946788,,
rightmove_RMV_GB00BGDT3G23,Media,RIGHTMOVE GRP
itv_ITV_GB0033986497,Media,ITV
millicom_international_cellular_sa_TIGO SDB_SE0001174970,,
bae_systems_BA._GB0002634946,Industrial Goods & Services,BAE SYSTEMS
acciona_ANA_ES0125220311,,
allianz_ALV_DE0008404005,Insurance,ALLIANZ
eqt_ab_EQT_SE0012853455,,
wpp_WPP_JE00B8KF9B49,Media,WPP
arkema_AKE_FR0010313833,Chemicals,ARKEMA
hennes_mauritz_HM B_SE0000106270,Personal & Household Goods,LVMH MOET HENNESSY
soitec_SOI_FR0013227113,,
credit_suisse_CSGN_CH0012138530,Banks,UNICREDIT
dassault_aviation_AM_FR0014004L86,Technology,DASSAULT SYSTEMS
waadtlaendische_kantonalbank_BCVN_CH0531751755,,
wolters_kluwer_WKL_NL0000395903,Media,WOLTERS KLUWER
merck_MRK_DE0006599905,Health Care,MERCK
essilor_international_EL_FR0000121667,Health Care,ESSILOR INTERNATIONAL
hera_HER_IT0001250932,,
intermediate_capital_ICP_GB00BYT1DJ19,Financial Services,INTERMEDIATE CAPITAL GRP
atlas_copco_ATCO A_SE0017486889,Industrial Goods & Services,ATLAS COPCO A
phoenix_PHNX_GB00BGXQNP29,Oil & Gas,ENI
eiffage_FGR_FR0000130452,Construction & Materials,EIFFAGE
holmen_ab_HOLM B_SE0011090018,,
siemens_healthineers_SHL_DE000SHL1006,Industrial Goods & Services,SIEMENS
howden_joinery_HWDN_GB0005576813,Industrial Goods & Services,HOWDEN JOINERY GRP
bmw_BMW_DE0005190003,Automobiles & Parts,BMW
mtu_aero_engines_MTX_DE000A0D9PT0,Industrial Goods & Services,MTU AERO ENGINES
thule_group_ab_THULE_SE0006422390,,
randstad_RAND_NL0000379121,Industrial Goods & Services,RANDSTAD
powszechny_zaklad_ubezpieczen_sa_PZU_PLPZU0000011,,
barratt_developments_BDEV_GB0000811801,Personal & Household Goods,BARRATT DEVELOPMENTS
puma_PUM_DE0006969603,,
taylor_wimpey_TWODF_GB0008782301,Personal & Household Goods,TAYLOR WIMPEY
bouygues_EN_FR0000120503,Construction & Materials,BOUYGUES
bollore_BOL_FR0000039299,Industrial Goods & Services,BOLLORE
christian_dior_CDI_FR0000130403,Personal & Household Goods,CHRISTIAN DIOR
bank_polska_kasa_opieki_sa_PEO_PLPEKAO00016,Banks,LLOYDS BANKING GRP
galp_energia_sgps_GALP_PTGAL0AM0009,Oil & Gas,GALP ENERGIA
voestalpine_VOE_AT0000937503,Basic Resources,VOESTALPINE
genus_plc_GNS_GB0002074580,,
imperial_brands_IMB_GB0004544929,Personal & Household Goods,IMPERIAL BRANDS
computacenter_plc_CCC_GB00BV9FP302,,
elia_system_operator_sa_nv_ELI_BE0003822393,Telecommunications,TELIASONERA
freenet_FNTN_DE000A0Z2ZZ5,Telecommunications,FREENET
getinge_GETI B_SE0000202624,Health Care,GETINGE B
cie_financiere_richemont_CFR_CH0210483332,Personal & Household Goods,CIE FINANCIERE RICHEMONT
dechra_pharmaceuticals_plc_DPH_GB0009633180,,
diasorin_otc_DIA_IT0003492391,,
symrise_SY1_DE000SYM9999,Chemicals,SYMRISE
just_eat_takeawaycom_nv_TKWY_NL0012015705,Retail,JUST EAT
skandinaviska_enskilda_banken_SEB A_SE0000148884,Banks,SKANDINAVISKA ENSKILDA BK A
ab_electrolux_ELUX B_SE0016589170,Food & Beverage,SABMILLER
orkla_ORK_NO0003733800,Food & Beverage,ORKLA
worldline_sa_WLN_FR0011981968,,
edenred_EDEN_FR0010908533,Industrial Goods & Services,EDENRED
ing_INGA_NL0011821202,Banks,LLOYDS BANKING GRP
admiral_ADM_GB00B02J6398,Insurance,ADMIRAL GRP
bp_BP._GB0007980591,Oil & Gas,BP
kerry_KRZ_IE0004906560,Food & Beverage,KERRY GRP
direct_line_DLG_GB00BY9D0Y18,Insurance,DIRECT LINE INSURANCE GROUP
brenntag_BNR_DE000A1DAHH0,Chemicals,BRENNTAG
alfa_laval_ALFA_SE0000695876,Industrial Goods & Services,ALFA LAVAL
dcc_DCC_IE0002424939,Industrial Goods & Services,DCC
upm_kymmene_UPM_FI0009005987,Basic Resources,UPM KYMMENE
andritz_ANDR_AT0000730007,Industrial Goods & Services,ANDRITZ
bovis_homes_VTY_GB0001859296,Personal & Household Goods,BOVIS HOMES GRP
groupe_eurotunnel_GET_FR0010533075,,
solvay_SOLB_BE0003470755,Chemicals,SOLVAY
beazley_BEZ_GB00BYQ0JC66,Insurance,BEAZLEY
fresenius_medical_care_FME_DE0005785802,Oil & Gas,ENI
alfen_nv_ALFEN_NL0012817175,,
vantage_towers_ag_VTWR_DE000A3H3LL2,,
glencore_GLEN_JE00B4T3BW64,Basic Resources,GLENCORE PLC
italgas_IG_IT0005211237,,
tieto_oyj_TIETO_FI0009000277,,
amplifon_AMP_IT0004056880,,
pernod_ricard_RI_FR0000120693,Food & Beverage,PERNOD RICARD
nestle_NESN_CH0038863350,Food & Beverage,NESTLE
sweco_ab_SWEC B_SE0014960373,,
remy_cointreau_RCO_FR0000130395,,
banco_bpm_otc_BAMI_IT0005218380,,
sectra_ab_publ_SECT B_SE0018245953,,
bank_of_ireland_group_plc_BIRG_IE00BD1RP616,Banks,LLOYDS BANKING GRP
lpp_LPP_PLLPP0000011,,
asml_ASML_NL0010273215,Technology,ASML HLDG
topdanmark_TOP_DK0060477503,Insurance,TOPDANMARK
lifco_ab_LIFCO B_SE0015949201,,
johnson_matthey_JMAT_GB00BZ4BQC70,Chemicals,JOHNSON MATTHEY
diploma_plc_DPLM_GB0001826634,,
galenica_GALE_CH0360674466,Oil & Gas,ENI
hugo_boss_BOSS_DE000A1PHFF7,Personal & Household Goods,HUGO BOSS
eurazeo_RF_FR0000121121,Industrial Goods & Services,EURAZEO
royal_dutch_shell_SHELL_GB00BP6MXD84,Oil & Gas,ROYAL DUTCH SHELL A
compass_group_CPG_GB00BD6K4575,Travel & Leisure,COMPASS GRP
deutsche_bank_DBK_DE0005140008,Telecommunications,DEUTSCHE TELEKOM
a2a_A2A_IT0001233417,,
leg_immobilien_LEG_DE000LEG1110,Insurance,LEGAL & GENERAL GRP
finecobank_FBK_IT0000072170,,
philips_PHIA_NL0000009538,Industrial Goods & Services,PHILIPS
rotork_ROR_GB00BVFNZH21,Industrial Goods & Services,ROTORK
sig_combibloc_group_ag_SIGN_CH0435377954,,
danone_BN_FR0000120644,Food & Beverage,DANONE
avanza_bank_holding_ab_AZA_SE0012454072,,
baloise_BALN_CH0012410517,Insurance,BALOISE
ubs_UBSG_CH0244767585,Banks,UBS GROUP
the_berkeley_group_holdings_plc_BKG_GB00BLJNXL82,Utilities,SCOTTISH & SOUTHERN ENERGY
centrica_CNA_GB00B033F229,Utilities,CENTRICA
gn_store_nord_GN_DK0010272632,Health Care,GN STORE NORD
grafton_GFTU_IE00B00MZ448,Industrial Goods & Services,GRAFTON GRP
rexel_RXL_FR0010451203,Industrial Goods & Services,REXEL
british_american_tobacco_BATS_GB0002875804,Personal & Household Goods,BRITISH AMERICAN TOBACCO
epiroc_ab_EPI A_SE0015658109,,
gea_group_G1A_DE0006602006,Insurance,AGEAS
essity_aktiebolagb_ESSITY B_SE0009922164,,
kojamo_oyj_KOJAMO_FI4000312251,,
ds_smith_SMDS_GB0008220112,Banks,LLOYDS BANKING GRP
harbour_energy_plc_HBR_GB00BMBVGQ36,,
evonik_EVK_DE000EVNK013,Chemicals,EVONIK INDUSTRIES
securitas_SECU B_SE0000163594,Industrial Goods & Services,SECURITAS B
amadeus_AMS_ES0109067019,Industrial Goods & Services,AMADEUS IT HLDG
spectris_SXS_GB0003308607,Industrial Goods & Services,SPECTRIS
indivior_INDV_GB00BN4HT335,Health Care,INDIVIOR
dassault_systèmes_se_DSY_FR0014003TT8,Technology,DASSAULT SYSTEMS
safestore_holdings_plc_SAFE_GB00B1N7Z094,,
aixtron_AIXA_AIXTRON,,
royal_unibrew_RBREW_DK0060634707,Oil & Gas,ROYAL DUTCH SHELL A
ocado_OCDO_GB00B3MBS747,Retail,OCADO
kongsberg_gruppen_as_KOG_NO0003043309,,
heidelbergcement_HEI_DE0006047004,Construction & Materials,HEIDELBERGCEMENT
faurecia_EO_FR0000121147,Automobiles & Parts,FAURECIA
publicis_PUB_FR0000130577,Media,PUBLICIS GRP
imi_IMI_GB00BGLP8L22,Industrial Goods & Services,IMI
industrivarden_INDU C_SE0000190126,Financial Services,INDUSTRIVARDEN A
softcat_plc_SCT_GB00BYZDVK82,,
poste_italiane_PST_IT0003796171,,
grifols_otc_GRF_ES0171996087,Health Care,GRIFOLS
heineken_holding_HEIO_NL0000008977,Food & Beverage,HEINEKEN
genmab_GMAB_DK0010272202,Health Care,GENMAB
electricite_de_france_EDF_FR0010242511,,
adyen_ADYEN_NL0012969182,,
reckitt_benckiser_RKT_GB00B24CGK77,Personal & Household Goods,RECKITT BENCKISER GRP
sampo_SAMPO_FI0009003305,Insurance,SAMPO
big_yellow_group_plc_BYG_GB0002869419,,
tryg_TRYG_DK0060636678,Insurance,TRYG
telefonaktiebolaget_lm_ericsson_ERIC B_SE0000108656,,
evolution_gaming_group_EVO_SE0012673267,,
antofagasta_ANTO_GB0000456144,Basic Resources,ANTOFAGASTA
bechtle_BC8_DE0005158703,,
energean_plc_ENOG_GB00BG12Y042,,
severn_trent_SVT_GB00B1FH8J72,Utilities,SEVERN TRENT
assura_plc_AGR_GB00BVGBWW93,Insurance,CNP ASSURANCES
rational_RAA_DE0007010803,,
fabege_FABG_SE0011166974,,
lundbergs_abb_shs_LUND B_SE0000108847,,
spie_sa_SPIE_FR0012757854,,
red_electrica_RED_ES0173093024,Banks,UNICREDIT
lindt_spruengli_LISP_CH0010570759,Food & Beverage,LINDT & SPRUENGLI REG
basf_BAS_DE000BASF111,Chemicals,BASF
vestas_wind_systems_VWS_DK0061539921,Oil & Gas,VESTAS WIND SYSTEMS
merlin_properties_socimi_MRL_ES0105025003,Travel & Leisure,MERLIN ENTERTAINMENTS
lloyds_banking_LLOY_GB0008706128,Banks,LLOYDS BANKING GRP
capgemini_CAP_FR0000125338,,
bavarian_nordic_BAVA_DK0015998017,,
bkw_BKW_CH0130293662,,
united_internet_UTDI_DE0005089031,Utilities,UNITED UTILITIES GRP
veolia_environnement_VIE_FR0000124141,Utilities,VEOLIA ENVIRONNEMENT
assa_abloy_ASSA B_SE0007100581,Construction & Materials,ASSA ABLOY
nn_NN_NL0010773842,Personal & Household Goods,LVMH MOET HENNESSY
ems_chemie_EMSN_CH0016440353,Industrial Goods & Services,BAE SYSTEMS
wendel_MF_FR0000121204,Financial Services,WENDEL
vivendi_VIV_FR0000127771,Media,VIVENDI
next_NXT_GB0032089863,Retail,NEXT
husqvarna_HUSQ B_SE0001662230,Personal & Household Goods,HUSQVARNA B
eni_ENI_IT0003132476,Oil & Gas,ENI
encavis_ag_ECV_DE0006095003,,
schindler_SCHP_CH0024638196,Industrial Goods & Services,SCHINDLER P
telefonica_deutschland_O2D_DE000A1J5RX9,Telecommunications,TELEFONICA
kesko_KESKOB_FI0009000202,Retail,KESKO
deutsche_telekom_DTE_DE0005557508,Telecommunications,DEUTSCHE TELEKOM
inmobiliaria_colo_otc_COL_ES0139140174,,
ssab_b_SSAB B_SE0000120669,,
davide_campari_milano_nv_CPR_NL0015435975,Food & Beverage,DAVIDE CAMPARI
euronext_ENX_NL0006294274,Retail,NEXT
accor_AC_FR0000120404,Travel & Leisure,ACCOR
exor_EXO_NL0012059018,Financial Services,EXOR
aroundtown_AT1_LU1673108939,,
st_james_s_place_STJ_GB0007669376,Food & Beverage,NESTLE
kpn_KPN_NL0000009827,Telecommunications,KPN
sgs_SGSN_CH0002497458,Industrial Goods & Services,SGS
stora_enso_STERV_FI0009005961,Basic Resources,STORA ENSO R
tenaris_TEN_LU0156801721,Basic Resources,TENARIS
corporacion_acciona_energias_renovables_sa_ANE_ES0105563003,,
vodafone_VOD_GB00BH4HKS39,Telecommunications,VODAFONE GRP
stellantis_nv_STLA_NL00150001Q9,,
generali_G_IT0000062072,Insurance,ASSICURAZIONI GENERALI
muenchener_rueck_MUV2_DE0008430026,Insurance,MUENCHENER RUECK
aak_ab_AAK_SE0011337708,,
dufry_DUFN_CH0023405456,Retail,DUFRY GRP
ageas_AGS_BE0974264930,Insurance,AGEAS
groupe_bruxelles_lambert_GBLB_BE0003797140,,
oci_OCI_NL0010558797,Banks,GRP SOCIETE GENERALE
cts_eventime_EVD_DE0005470306,,
telenor_TEL_NO0010063308,Telecommunications,TELENOR
electrocomponents_plc_RS1_GB0003096442,,
endesa_ELE_ES0130670112,Utilities,ENDESA
zurich_insurance_ZURN_CH0011075394,Insurance,ZURICH INSURANCE GROUP
nokia_NOKIA_FI0009000681,Technology,NOKIA
marks_spencer_MKS_GB0031274896,Retail,MARKS & SPENCER GRP
infineon_IFX_DE0006231004,Technology,INFINEON TECHNOLOGIES
hannover_rueck_HNR1_DE0008402215,Insurance,HANNOVER RUECK
coloplast_COLO B_DK0060448595,Health Care,COLOPLAST B
bnp_paribas_BNP_FR0000131104,Banks,BNP PARIBAS
persimmon_PSN_GB0006825383,Personal & Household Goods,PERSIMMON
allfunds_group_plc_ALLFG_GB00BNTJ3546,,
seb_SK_FR0000121709,Personal & Household Goods,SEB
mediobanca_MB_IT0000062957,Banks,MEDIOBANCA
addtech_ab_ADDT B_SE0014781795,,
ashtead_AHT_GB0000536739,Industrial Goods & Services,ASHTEAD GRP
hikma_HIK_GB00B0LCW083,Health Care,HIKMA PHARMACEUTICALS
svenska_handelsbanken_SHB A_SE0007100599,Banks,SVENSKA HANDELSBANKEN A
kone_KNEBV_FI0009013403,Industrial Goods & Services,KONE B
valeo_FR_FR0013176526,Automobiles & Parts,VALEO
wacker_chemie_WCH_DE000WCH8881,,
aurubis_NDA_DE0006766504,Utilities,RUBIS
experian_EXPN_GB00B19NLV48,Industrial Goods & Services,EXPERIAN
telefonica_TEF_ES0178430E18,Telecommunications,TELEFONICA
ucb_UCB_BE0003739530,Health Care,UCB
caixabank_CABK_ES0140609019,Banks,CAIXABANK
verbund_ag_VER_AT0000746409,,
elisa_ELISA_FI0009007884,Telecommunications,ELISA CORPORATION
primary_health_properties_plc_PHP_GB00BYRJ5J14,,
saab_bofors_dynamics_switzerland_ltd_SAAB B_SE0000112385,,
novozymes_NZYM B_DK0060336014,Health Care,NOVOZYMES
adidas_ADS_DE000A1EWWW0,Personal & Household Goods,ADIDAS
ferrari_RACE_NL0011585146,Automobiles & Parts,FERRARI
legal_general_LGEN_GB0005603997,Insurance,LEGAL & GENERAL GRP
logitech_LOGN_CH0025751329,Technology,LOGITECH INTERNATIONAL
swiss_life_SLHN_CH0014852781,Insurance,SWISS REINSURANCE COMPANY
roche_ROG_CH0012032048,Health Care,ROCHE HLDG P
jeronimo_martins_sgps_JMT_PTJMT0AE0001,Retail,JERONIMO MARTINS
kingfisher_KGF_GB0033195214,Retail,KINGFISHER
svenska_cellulosa_SCA B_SE0000112724,Banks,SVENSKA HANDELSBANKEN A
orange_ORA_FR0000133308,Telecommunications,ORANGE
greggs_plc_GRG_GB00B63QSB39,,
tecan_TECN_CH0012100191,,
international_consolidated_airlines_IAG_ES0177542018,Health Care,ESSILOR INTERNATIONAL
cybg_VMUK_GB00BD6GN030,,
neste_NESTE_FI0009013296,Oil & Gas,NESTE
relx_plc_REL_GB00B2B0DG97,Media,RELX NV
stmicroelectronics_STM_NL0000226223,Technology,STMICROELECTRONICS
latour_investment_ab_LATO B_SE0010100958,,
ringkj_bing_landbobank_as_RILBA_DK0060854669,,
intesa_sanpaolo_ISP_IT0000072618,Banks,INTESA SANPAOLO
inchcape_INCH_GB00B61TVQ02,Retail,INCHCAPE
kghm_KGH_PLKGHM000017,,
legrand_LR_FR0010307819,Industrial Goods & Services,LEGRAND
partners_group_PGHN_CH0024608827,Financial Services,PARTNERS GRP HLDG
knorr_bremse_KBX_DE000KBX1006,,
convatec_CTEC_GB00BD3VFW73,,
hellofresh_HFG_DE000A161408,,
nordic_semiconductor_asa_NOD_NO0003055501,,
informa_INF_GB00BMJ6DW54,Media,INFORMA
fortnox_ab_FNOX_SE0017161243,,
renault_RNO_FR0000131906,Automobiles & Parts,RENAULT
trelleborg_TREL B_SE0000114837,Industrial Goods & Services,TRELLEBORG B
banco_bilbao_vizcaya_argentaria_BBVA_ES0113211835,,
intertek_ITRK_GB0031638363,Industrial Goods & Services,INTERTEK GRP
valmet_oyj_VALMT_FI4000074984,,
rwe_RWE_DE0007037129,Utilities,RWE
brunello_cucinelli_spa_BC_IT0004764699,,
elis_ELIS_FR0012435121,Telecommunications,ELISA CORPORATION
whitbread_WTB_GB00B1KJJ408,Travel & Leisure,WHITBREAD
enagas_ENG_ES0130960018,Utilities,ENAGAS
wienerberger_WIE_AT0000831706,,
leonardo_LDO_IT0003856405,,
flughafen_zuerich_FHZN_CH0319416936,Industrial Goods & Services,FLUGHAFEN ZURICH
axa_CS_FR0000120628,Insurance,AXA
smurfit_kappa_SK3_IE00B1RR8406,Industrial Goods & Services,SMURFIT KAPPA GRP
dino_polska_sa_DNP_PLDINPL00011,,
hexagon_HEXA B_SE0000103699,Technology,HEXAGON B
carl_zeiss_meditec_AFX_DE0005313704,Food & Beverage,CARLSBERG B
ackermans_van_haaren_ACKB_BE0003764785,Industrial Goods & Services,MAN
zalando_ZAL_DE000ZAL1111,Retail,ZALANDO
adecco_ADEN_CH0012138605,Industrial Goods & Services,ADECCO
ipsen_IPN_FR0010259150,,
hargreaves_lansdown_HL._GB00B1VZ0M25,Financial Services,HARGREAVES LANSDOWN
royal_mail_IDS_GB00BDVZYZ77,Oil & Gas,ROYAL DUTCH SHELL A
yara_international_YAR_NO0010208051,Chemicals,YARA
rheinmetal_RHM_DE0007030009,Automobiles & Parts,RHEINMETALL
sopra_steria_group_SOP_FR0000050809,,
subsea_7_SUBC_LU0075646355,Oil & Gas,SUBSEA7
salmar_SALM_NO0010310956,,
gecina_GFC_FR0010040865,Real Estate,GECINA
wartsila_WRT1V_FI0009003727,Industrial Goods & Services,WARTSILA
bakkafrost_BAKKA_FO0000000179,,
sodexo_SW_FR0000121220,Travel & Leisure,SODEXO
orion_ORNBV_FI0009014377,Health Care,ORION B
tritax_big_box_reit_plc_BBOX_GB00BG49KP99,,
british_land_co_BLND_GB0001367019,Personal & Household Goods,BRITISH AMERICAN TOBACCO
swedish_orphan_biovitrum_SOBI_SE0000872095,Personal & Household Goods,SWEDISH MATCH
linde_plc_LIN_IE00BZ12WP82,Chemicals,LINDE
alk_abello_ALK B_DK0061802139,Telecommunications,TALKTALK TELECOM GRP
halma_HLMA_GB0004052071,Industrial Goods & Services,HALMA
schneider_electric_SU_FR0000121972,Industrial Goods & Services,SCHNEIDER ELECTRIC
societe_generale_GLE_FR0000130809,Banks,GRP SOCIETE GENERALE
fuchs_petrol_FPE3_DE000A3E5D56,Chemicals,FUCHS PETROLUB PREF
